,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.013156263999917428,10.0,100.0,100,0.9,1000
1,1,0.03890167299960012,15.0,202.0,100,0.9,1000
2,2,0.05818933099999413,15.0,303.0,100,0.9,1000
3,3,0.07826538100016478,17.0,405.0,100,0.9,1000
4,4,0.09654052699988824,17.0,506.0,100,0.9,1000
5,5,0.11566934100028448,17.0,607.0,100,0.9,1000
6,6,0.13387447199966118,18.0,709.0,100,0.9,1000
7,7,0.15101492000030703,18.0,810.0,100,0.9,1000
8,8,0.16928380399986054,19.0,912.0,100,0.9,1000
9,9,0.187413118999757,19.0,1013.0,100,0.9,1000
10,10,0.20486619700022857,19.0,1114.0,100,0.9,1000
11,11,0.22272749900002964,19.0,1215.0,100,0.9,1000
12,12,0.2416832910002995,22.0,1317.0,100,0.9,1000
13,13,0.25939898300021014,22.0,1418.0,100,0.9,1000
14,14,0.27780022000024474,22.0,1519.0,100,0.9,1000
15,15,0.2944453580003028,22.0,1620.0,100,0.9,1000
16,16,0.3119462980002936,22.0,1721.0,100,0.9,1000
17,17,0.3300543730001664,25.0,1823.0,100,0.9,1000
18,18,0.34684196400030487,25.0,1924.0,100,0.9,1000
19,19,0.36575755899957585,26.0,2026.0,100,0.9,1000
20,20,0.38390089200038346,30.0,2128.0,100,0.9,1000
21,21,0.40226195200011716,30.0,2229.0,100,0.9,1000
22,22,0.4196043179999833,31.0,2331.0,100,0.9,1000
23,23,0.43764486300005956,33.0,2433.0,100,0.9,1000
24,24,0.454801562999819,33.0,2534.0,100,0.9,1000
25,25,0.47106222300044465,35.0,2636.0,100,0.9,1000
26,26,0.4885064540003441,35.0,2737.0,100,0.9,1000
27,27,0.5062374560002354,35.0,2838.0,100,0.9,1000
28,28,0.5233913299998676,37.0,2940.0,100,0.9,1000
29,29,0.5412672490001569,37.0,3041.0,100,0.9,1000
30,30,0.5576699330003976,40.0,3143.0,100,0.9,1000
31,31,0.5749829220003448,40.0,3244.0,100,0.9,1000
32,32,0.59217840600013,40.0,3345.0,100,0.9,1000
33,33,0.6093993679996856,40.0,3446.0,100,0.9,1000
34,34,0.6266411810001955,40.0,3547.0,100,0.9,1000
35,35,0.6437056539998594,41.0,3649.0,100,0.9,1000
36,36,0.6617296080003143,41.0,3750.0,100,0.9,1000
37,37,0.6782396970002083,41.0,3851.0,100,0.9,1000
38,38,0.6937517500000467,41.0,3952.0,100,0.9,1000
39,39,0.709732903999793,41.0,4053.0,100,0.9,1000
40,40,0.725711723999666,43.0,4155.0,100,0.9,1000
41,41,0.7419786059999751,43.0,4256.0,100,0.9,1000
42,42,0.7580421080001543,43.0,4357.0,100,0.9,1000
43,43,0.7740242950003449,43.0,4458.0,100,0.9,1000
44,44,0.7910050760001468,43.0,4559.0,100,0.9,1000
45,45,0.8086198950004473,43.0,4660.0,100,0.9,1000
46,46,0.8276087399999597,43.0,4761.0,100,0.9,1000
47,47,0.8445473609999681,45.0,4863.0,100,0.9,1000
48,48,0.8622589550004705,45.0,4964.0,100,0.9,1000
49,49,0.8786239860000933,45.0,5065.0,100,0.9,1000
50,50,0.8951107000002594,45.0,5166.0,100,0.9,1000
51,51,0.9136864319998494,46.0,5268.0,100,0.9,1000
52,52,0.9313919249998435,46.0,5369.0,100,0.9,1000
53,53,0.949746573000084,46.0,5470.0,100,0.9,1000
54,54,0.9669974529997489,46.0,5571.0,100,0.9,1000
55,55,0.9863013329995738,46.0,5672.0,100,0.9,1000
56,56,1.0042945570003212,46.0,5773.0,100,0.9,1000
57,57,1.0216967380001734,46.0,5874.0,100,0.9,1000
58,58,1.039086273999601,50.0,5976.0,100,0.9,1000
59,59,1.0568305409997265,50.0,6077.0,100,0.9,1000
60,60,1.074370665999595,50.0,6178.0,100,0.9,1000
61,61,1.0925717000000077,50.0,6279.0,100,0.9,1000
62,62,1.1103906199996345,50.0,6380.0,100,0.9,1000
63,63,1.1279282710002008,50.0,6481.0,100,0.9,1000
64,64,1.1441409389999535,51.0,6583.0,100,0.9,1000
65,65,1.161150316000203,51.0,6684.0,100,0.9,1000
66,66,1.178600328000357,53.0,6786.0,100,0.9,1000
67,67,1.1948698349997358,53.0,6887.0,100,0.9,1000
68,68,1.2123269410003559,54.0,6989.0,100,0.9,1000
69,69,1.2315659659998346,54.0,7090.0,100,0.9,1000
70,70,1.2498012349997225,54.0,7191.0,100,0.9,1000
71,71,1.2671332019999682,54.0,7292.0,100,0.9,1000
72,72,1.2848768570001994,54.0,7393.0,100,0.9,1000
73,73,1.302045870999791,54.0,7494.0,100,0.9,1000
74,74,1.320503937000467,54.0,7595.0,100,0.9,1000
75,75,1.3377808280001773,54.0,7696.0,100,0.9,1000
76,76,1.3563261919998695,55.0,7798.0,100,0.9,1000
77,77,1.3757902589995865,55.0,7899.0,100,0.9,1000
78,78,1.3929342239998732,56.0,8001.0,100,0.9,1000
79,79,1.4110114699997212,56.0,8102.0,100,0.9,1000
80,80,1.4296430499998678,57.0,8204.0,100,0.9,1000
81,81,1.4489189960004296,57.0,8305.0,100,0.9,1000
82,82,1.4662516529997447,57.0,8406.0,100,0.9,1000
83,83,1.4856536710003638,57.0,8507.0,100,0.9,1000
84,84,1.5025758510000742,57.0,8608.0,100,0.9,1000
85,85,1.5202335719995972,58.0,8710.0,100,0.9,1000
86,86,1.53747462299998,58.0,8811.0,100,0.9,1000
87,87,1.5547903980004776,58.0,8912.0,100,0.9,1000
88,88,1.5710915560002832,58.0,9013.0,100,0.9,1000
89,89,1.5866317339996385,58.0,9114.0,100,0.9,1000
90,90,1.602754860999994,58.0,9215.0,100,0.9,1000
91,91,1.6181960180001624,58.0,9316.0,100,0.9,1000
92,92,1.6338837900002545,58.0,9417.0,100,0.9,1000
93,93,1.6495618219996686,58.0,9518.0,100,0.9,1000
