video_path,path,label,original_path,set,partition,combo
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_396.jpg,a1,images/set_2/IMG_1074/frame_396.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_276.jpg,a1,images/set_2/IMG_1074/frame_276.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_584.jpg,a1,images/set_2/IMG_1074/frame_584.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_424.jpg,a1,images/set_2/IMG_1074/frame_424.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_440.jpg,a1,images/set_2/IMG_1074/frame_440.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_290.jpg,a1,images/set_2/IMG_1074/frame_290.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_522.jpg,a1,images/set_2/IMG_1074/frame_522.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_348.jpg,a1,images/set_2/IMG_1074/frame_348.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_544.jpg,a1,images/set_2/IMG_1074/frame_544.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1074.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1074/frame_492.jpg,a1,images/set_2/IMG_1074/frame_492.jpg,set_2,train,set_2_a1
videos/set_2/IMG_1075.MOV,/home/stevie/git/chess_vision/dataset/256x256/images/set_2/IMG_1075/frame_446.jpg,b1,images/set_2/IMG_1075/frame_446.jpg,set_2,train,set_2_b1
