Temperature,Decay Type,Best Fitness Mean,Best Time Mean,Best FEvals Mean,Best Iterations Mean
1,arith_decay,30.00,0.15,1629,1298
1,exp_decay,28.33,0.02,664,461
1,geom_decay,30.00,0.02,577,403
10,arith_decay,8.67,4.88,15390,7738
10,exp_decay,26.33,0.07,1439,863
10,geom_decay,26.33,0.03,870,548
100,arith_decay,5.67,1.78,9338,4671
100,exp_decay,27.00,0.18,2594,1442
100,geom_decay,27.33,0.06,1307,775
1000,arith_decay,8.67,3.61,13276,6638
1000,exp_decay,25.33,0.29,3425,1839
1000,geom_decay,28.00,0.10,1844,1049
10000,arith_decay,6.00,0.03,1132,566
10000,exp_decay,27.00,0.41,4175,2218
10000,geom_decay,27.33,0.16,2440,1343
